country,location,lat,lon,aegypti_1,aegypti_2,aegypti_3,aegypti_4,aegypti_5,aegypti_6,aegypti_7,aegypti_8,aegypti_9,aegypti_10,aegypti_11,aegypti_12,aegypti_13,aegypti_14,aegypti_15,aegypti_16,aegypti_17,aegypti_18,aegypti_19,aegypti_20,aegypti_21,aegypti_22,aegypti_23,aegypti_24,aegypti_25,aegypti_26,aegypti_27,aegypti_28,aegypti_29,aegypti_30,aegypti_31,aegypti_32,aegypti_33,aegypti_34,aegypti_35,aegypti_36,aegypti_37,aegypti_38,aegypti_39,aegypti_40,aegypti_41,aegypti_42,aegypti_43,aegypti_44,aegypti_45,aegypti_46,aegypti_47,aegypti_48,aegypti_49,aegypti_50,aegypti_51,aegypti_52,aegypti_53,aegypti_54,aegypti_55,aegypti_56,aegypti_57,aegypti_58,aegypti_59,aegypti_60,aegypti_61,aegypti_62,aegypti_63,aegypti_64,aegypti_65,aegypti_66,aegypti_67,aegypti_68,aegypti_69,aegypti_70,aegypti_71,aegypti_72,aegypti_73,aegypti_74,aegypti_75,aegypti_76,aegypti_77,aegypti_78,aegypti_79,aegypti_80,aegypti_81,aegypti_82,aegypti_83,aegypti_84,aegypti_85,aegypti_86,aegypti_87,aegypti_88,aegypti_89,aegypti_90,aegypti_91,aegypti_92,aegypti_93,aegypti_94,aegypti_95,aegypti_96,aegypti_97,aegypti_98,aegypti_99,aegypti_100
Nicaragua,Managua,12.138889,-86.236667,0.831298058,0.830487277,0.759359739,0.823284484,0.861257387,0.785765449,0.804836431,0.819086026,0.803562742,0.83178409,0.841346162,0.769465503,0.813459751,0.760953155,0.836183395,0.786813537,0.852306484,0.841143689,0.835954287,0.841240224,0.825442885,0.792776914,0.838034521,0.786320974,0.844410562,0.800253293,0.801006141,0.804017011,0.842976037,0.825123577,0.830313582,0.751164315,0.846561081,0.765196142,0.812021505,0.838809381,0.855181272,0.822100622,0.841941873,0.818624381,0.848272152,0.788170791,0.833349206,0.827125722,0.791220422,0.817854849,0.792107904,0.834877027,0.837078796,0.821444104,0.799972252,0.830414236,0.835564803,0.822325659,0.822852507,0.800487467,0.795951496,0.817856648,0.772153711,0.769014324,0.800012501,0.857087516,0.79214015,0.809756326,0.824918,0.852181432,0.812505874,0.787120405,0.787248451,0.825908786,0.795951223,0.806797427,0.829379235,0.812377568,0.857317505,0.854514725,0.795479672,0.836272502,0.81994576,0.796168039,0.772671704,0.79089735,0.79044811,0.808563711,0.807322466,0.790521823,0.819626395,0.810661129,0.812774992,0.825711583,0.802560331,0.877565805,0.829356069,0.858537418,0.80565376,0.835441868,0.83476616,0.771956168,0.821111282,0.804074171
Carribean,Saint Martin,18.057778,-63.052222,0.84669122,0.909151693,0.891332576,0.934561038,0.855216306,0.867668001,0.901777737,0.882785243,0.869008308,0.884753945,0.88432502,0.920402619,0.911203772,0.887092013,0.901908706,0.906338455,0.857856417,0.858333627,0.899642548,0.901987266,0.910876163,0.913142514,0.850169597,0.861213669,0.819453475,0.906168739,0.844136101,0.927877323,0.856912129,0.866124819,0.822064455,0.839092541,0.889636256,0.866992084,0.893616849,0.922691199,0.871905164,0.912089495,0.896847139,0.923660263,0.904417216,0.895045185,0.870994713,0.88546817,0.905233994,0.950529353,0.88224187,0.903829,0.917738117,0.897790308,0.920148222,0.885555232,0.770713499,0.886000629,0.870892333,0.867363149,0.886546847,0.893229539,0.919806133,0.863428578,0.864076732,0.862150155,0.870101561,0.85130587,0.883708944,0.903353528,0.906382848,0.888854284,0.839554077,0.878295908,0.874474121,0.839088231,0.849113033,0.837734987,0.882674182,0.890069142,0.859164685,0.87465545,0.894554607,0.85022748,0.828814581,0.886119782,0.894990158,0.87688855,0.874144063,0.870911766,0.873721686,0.90135376,0.859936195,0.916124928,0.890441728,0.871648518,0.877363134,0.875137876,0.883431802,0.901893408,0.890306457,0.803837085,0.89052863,0.890121981
Italy,Emilia Romagna,44.543056,11.177778,0.12423242,0.151272204,0.117115455,0.126717763,0.149797714,0.145707957,0.190991601,0.165369291,0.141126156,0.154343636,0.127776183,0.200924984,0.110419299,0.106348625,0.117614751,0.153241662,0.085078353,0.139442897,0.157905237,0.152325649,0.157305926,0.141270224,0.134695289,0.154643449,0.141181772,0.208010286,0.119753769,0.221013169,0.139112259,0.147885887,0.108770599,0.120956586,0.165254885,0.116938052,0.108904862,0.14782336,0.14102693,0.173372047,0.162997513,0.1633618,0.163074995,0.112246342,0.188738792,0.166092717,0.109207918,0.163727809,0.159359691,0.129367748,0.183479479,0.21455123,0.177432038,0.197232488,0.155162688,0.137977525,0.156540059,0.100626896,0.131543277,0.151573623,0.151186733,0.119890492,0.113418478,0.162320723,0.167036408,0.176193682,0.142881694,0.17153925,0.130684358,0.121709013,0.109821215,0.125555899,0.126044733,0.189206219,0.137848694,0.118514154,0.156337499,0.114174077,0.173137578,0.155436407,0.190506039,0.161066358,0.167807324,0.172310937,0.093093049,0.096107671,0.127954789,0.104542488,0.115020416,0.167879378,0.192081641,0.164585033,0.188414454,0.148250212,0.163289458,0.11240671,0.156639441,0.158568114,0.097275466,0.14008012,0.124527584,0.174986795
Madagascar,Mananjary,-21.23,48.336111,0.627481092,0.631544534,0.51956694,0.597519492,0.557068508,0.634528415,0.718198963,0.578178818,0.648555937,0.563323884,0.49245066,0.591368442,0.69587227,0.533523839,0.67383351,0.489485149,0.632660124,0.463462375,0.663905737,0.707006327,0.523499602,0.54851508,0.60352369,0.680349531,0.571344028,0.534024777,0.551257379,0.654863942,0.64994869,0.585888815,0.522065351,0.568720984,0.675730088,0.614741841,0.607098326,0.57576391,0.549401349,0.68363942,0.647875351,0.644185266,0.552999311,0.60149437,0.631761366,0.641320637,0.601242863,0.689168216,0.451046242,0.640556672,0.633325903,0.639186538,0.627244289,0.592680083,0.535456469,0.533993,0.511999163,0.612288968,0.570132102,0.624336244,0.623270956,0.646298001,0.388202882,0.577664468,0.696533446,0.557475331,0.655158873,0.427972366,0.618886797,0.624510164,0.665688983,0.508866188,0.633665956,0.766474801,0.593910978,0.542276407,0.628826466,0.5747263,0.670340936,0.629026882,0.52600902,0.740285468,0.561453311,0.737990354,0.658668076,0.563186639,0.554999285,0.480271027,0.648457903,0.576437165,0.641521595,0.567821101,0.585324264,0.678628947,0.458109691,0.646536373,0.525508689,0.66480369,0.583944104,0.565742139,0.576759957,0.639538729
Madagascar,Manakara,-22.147778,47.997222,0.726913623,0.743512594,0.682669379,0.711667844,0.733719946,0.797305771,0.728881139,0.649411244,0.736147289,0.65196061,0.719978937,0.738932659,0.727992606,0.682296819,0.738637324,0.696901255,0.760600191,0.664713111,0.792837001,0.738822834,0.739430057,0.575950923,0.749161862,0.663240541,0.811600049,0.746075387,0.643475985,0.700527182,0.772845056,0.72098309,0.731485494,0.641802556,0.726353253,0.661864743,0.773756739,0.761856232,0.785024319,0.686799705,0.768452269,0.764468155,0.67557436,0.701903475,0.760673628,0.64523903,0.693726245,0.760542875,0.745316472,0.739415554,0.706801983,0.700638032,0.662659906,0.782273034,0.725539691,0.675415802,0.715305798,0.731187788,0.653763043,0.716531763,0.75402084,0.728265108,0.657459605,0.690854451,0.754657896,0.676842654,0.806159608,0.768628028,0.737829816,0.712272422,0.704809345,0.687820641,0.74340758,0.765480887,0.663837709,0.710222074,0.747630045,0.815157108,0.756528538,0.667376786,0.778483513,0.74908848,0.711086619,0.717428236,0.704447818,0.70810036,0.752329656,0.760818492,0.698110702,0.765169111,0.759395758,0.817507161,0.767062423,0.692531885,0.712805827,0.705318429,0.726673589,0.79616701,0.748346614,0.75505929,0.71380129,0.724806014
Madagascar,Ifanadiana,-21.304167,47.636111,0.168141571,0.270565719,0.186156987,0.228558898,0.102178903,0.056526899,0.122730092,0.143328034,0.208958333,0.152163744,0.039816117,0.204916766,0.202562836,0.125382459,0.146516867,0.193766624,0.112277769,0.09359804,0.084748133,0.418528095,0.260059045,0.201509855,0.199285294,0.218537314,0.164687219,0.2020629,0.165706523,0.096183691,0.267167284,0.120641346,0.200035044,0.18991543,0.120644658,0.164463451,0.2450921,0.190383871,0.378034669,0.247543828,0.184134045,0.133119865,0.212485859,0.248092386,0.202665631,0.103769081,0.082665144,0.092382495,0.208720161,0.162468658,0.159841188,0.077017978,0.051836663,0.05320646,0.198340704,0.109776088,0.318634314,0.353995673,0.083528491,0.059205085,0.116747902,0.14539631,0.245006708,0.235304311,0.128928701,0.120147205,0.289507885,0.270259241,0.179759442,0.129444401,0.179577187,0.197361851,0.093047143,0.226505564,0.152791201,0.441286055,0.268136232,0.083141271,0.208516912,0.219318227,0.107586957,0.178491668,0.173374509,0.204809887,0.117481624,0.093855746,0.144525249,0.213101982,0.146834213,0.258191797,0.209124403,0.129091092,0.244614553,0.075739721,0.228547222,0.086659661,0.126231103,0.21154744,0.083722918,0.143164746,0.1750777,0.295126801
Madagascar,Moramanga,-18.948333,48.224167,0.562677802,0.573631405,0.514797057,0.59011522,0.463320019,0.504894141,0.53266201,0.572761194,0.405780442,0.525939508,0.5569782,0.488677724,0.421377359,0.50149649,0.446954088,0.518337038,0.549671564,0.568267534,0.499857457,0.589796982,0.531324465,0.611236216,0.563998782,0.426318341,0.525362219,0.586913911,0.529478709,0.509723999,0.508536861,0.438560484,0.512341628,0.427219381,0.450596245,0.547319075,0.511892064,0.550482844,0.605406069,0.54485823,0.538861114,0.514830425,0.484959527,0.545950627,0.484421809,0.50769077,0.459588299,0.618431664,0.568425692,0.556652977,0.463309543,0.518824539,0.58069464,0.538380029,0.470548442,0.542364893,0.48868162,0.505519702,0.619539415,0.557415591,0.450737417,0.566895045,0.571083268,0.58378173,0.409880068,0.461735897,0.568986726,0.394720138,0.564911766,0.57276463,0.503163457,0.637188063,0.579247405,0.474774974,0.55313367,0.487578044,0.574664638,0.52028824,0.508963052,0.560932818,0.484212082,0.513630241,0.559424631,0.554382563,0.504175856,0.502039392,0.494604471,0.499970243,0.498425216,0.581632356,0.533938405,0.537105002,0.485787492,0.553487437,0.56835425,0.438165191,0.566908509,0.542186479,0.482534749,0.439459649,0.519367868,0.637402832
Madagascar,Tsiroanomandidy,-18.768611,46.049444,0.808848801,0.808019108,0.776381505,0.817098157,0.836585551,0.804672469,0.8282703,0.794106792,0.794133234,0.768899763,0.708146326,0.757289522,0.838052711,0.732866994,0.813361632,0.823118765,0.816164435,0.707992451,0.843563159,0.820523814,0.77250891,0.790410011,0.821432303,0.78278515,0.661353897,0.825226449,0.809471096,0.779994341,0.843660522,0.732524815,0.79643378,0.789344196,0.764383339,0.839930233,0.777912785,0.824874144,0.779804788,0.817262963,0.802864902,0.751855705,0.749820317,0.818326332,0.813474776,0.815906514,0.761648728,0.807718704,0.772211859,0.836544958,0.761385322,0.765406851,0.846658947,0.795804761,0.765428666,0.800503746,0.81500418,0.744389602,0.777593881,0.759464749,0.806151903,0.828142975,0.740345151,0.773491437,0.875292202,0.69060976,0.790635969,0.816370071,0.743455135,0.776863109,0.782055273,0.745608743,0.762308978,0.86027917,0.727490666,0.834349569,0.737528244,0.815307593,0.837022866,0.818483032,0.745527784,0.847793984,0.715943535,0.837060569,0.792366357,0.733364773,0.809517854,0.67391983,0.827670482,0.842901419,0.827666365,0.83324267,0.76163232,0.782982355,0.752815905,0.791746391,0.78932496,0.853144903,0.784686739,0.798418499,0.819093047,0.775411932
Madagascar,Ambositra,-20.531667,47.245,0.388404026,0.278399539,0.270738153,0.325996612,0.253845432,0.27312864,0.40353968,0.217258593,0.212145182,0.21105727,0.337798069,0.363370908,0.253811371,0.163312856,0.216128073,0.276649387,0.21945843,0.249879524,0.234986474,0.241430297,0.243635898,0.292238603,0.351104112,0.234303822,0.225898075,0.24844127,0.276440768,0.258843939,0.262683402,0.314849868,0.211572429,0.220316241,0.221168803,0.191914808,0.246057231,0.303048586,0.344123114,0.302549687,0.324978213,0.237581848,0.252644441,0.261708116,0.304250764,0.271108195,0.293217862,0.291694234,0.252475332,0.261819815,0.236057698,0.292343075,0.343094291,0.2912808,0.266784599,0.326228023,0.302676606,0.207791327,0.225812393,0.260442129,0.224679742,0.260694308,0.272962046,0.261705886,0.239283234,0.276000622,0.273377082,0.296533508,0.212121782,0.271457489,0.200753594,0.193984648,0.264255976,0.243953272,0.269160634,0.22686016,0.185310103,0.266773638,0.292477567,0.331474765,0.226382028,0.292022984,0.258353832,0.26182536,0.261618901,0.23420773,0.27024822,0.289670654,0.253657582,0.272667857,0.182953342,0.251428521,0.273153183,0.274050078,0.360417722,0.199869344,0.259050046,0.328733953,0.259601077,0.225959237,0.182551668,0.203172446
Kenya,Lamu Island,-2.265,40.853611,0.892873369,0.86771948,0.83935882,0.8486117,0.79057663,0.845537143,0.770974592,0.766698119,0.750784331,0.826112557,0.832529789,0.832464559,0.858664262,0.790193128,0.848338468,0.868849776,0.852926149,0.788083605,0.781172847,0.86632827,0.860070503,0.85770737,0.826589338,0.793085231,0.815034484,0.820743629,0.774657475,0.806081883,0.745086489,0.827999178,0.693754963,0.783505313,0.867036148,0.753884792,0.830837904,0.872295987,0.84437133,0.850046004,0.811958161,0.841927181,0.831439448,0.805459462,0.849646335,0.787225343,0.799843027,0.779532008,0.804972229,0.867567747,0.884882258,0.819724427,0.86023609,0.83162107,0.815568966,0.848226626,0.783047084,0.849655818,0.812107401,0.834032807,0.877111184,0.83714388,0.894458993,0.789594309,0.793334303,0.777793105,0.82727561,0.701792957,0.793045545,0.866607548,0.666027023,0.820005719,0.819905268,0.801260067,0.83602575,0.812770687,0.875497724,0.817056865,0.783945813,0.853999436,0.814865823,0.816450704,0.776908343,0.883515632,0.868852515,0.843352389,0.840278753,0.850461268,0.875681567,0.819832814,0.768476553,0.802255274,0.832637054,0.776681164,0.717144248,0.83189435,0.862490273,0.744903058,0.846107569,0.882576677,0.812164021,0.78835278
